id	main_text	label
1	A Bitcoin egy elektronikus fizetési hálózat, amely közvetlen felhasználók közötti (peer-to-peer) tranzakciókat tesz lehetővé, központi bank vagy más központi szereplő nélkül. Az értékcsere közvetítők nélkül, közvetlenül a felhasználók között történik.	true
2	A Bitcoin egy szoftver (számítógépes program), amely a világ legkülönbözőbb pontjain lévő számítógépeken fut, ezáltal valóban decentralizált marad. Ezen számítógépek mindegyike ugyanazt a szoftvert futtatja, és egy hatalmas hálózatot alkotnak, egymással kommunikálva és információt megosztva. Bárki, bárhol dönthet úgy, hogy futtatja ezt a szoftvert és részt vesz a hálózat működtetésében.	true
3	A Bitcoint Satoshi Nakamoto találta fel 2008-ban. Az ő személye (vagy személyük) ismeretlen, mivel privát szféráját megőrizve a Satoshi Nakamoto álnevet használta arra, hogy programozók ezreivel lépjen kapcsolatba az interneten. Satoshi egy "fehér könyv" elnevezésű dokumentumot tett közzé 2008. október 31-én, amelyben kifejtette és éles megvilágításba helyezte a Bitcoin felépítését. A Bitcoin egy nyílt és átlátható elosztott főkönyvet használ az összes tranzakció nyilvántartásához. A tranzakciókat bárki megtekintheti, ellenőrizheti és követheti a "Block Explorer" nevű egyszerű eszközzel.	true
4	A főkönyv 2009. január 3-án indult, amikor Satoshi közzétette a szoftvert, és kibányászta a lánc első blokkját, a "Genezis blokkot". Satoshi köztudottan "időlánc"-ként emlegette, mivel egy adott pillanatban tárolt/felvett rekordok egymás utáni láncolatáról van szó.	true
5	A genezis blokkba egy beágyazott szöveg található "a Times 2009. január 3-i számában a kancellár a bankok második mentőcsomagjának küszöbén", amely a bankok hírhedt kormányzati mentőcsomagjára utal, melyet a 2008-as pénzügyi világválság során alkalmaztak.	true
6	A Bitcoin készletének felső határa 21 millió, ami az időlánccal ellenőrizhető, senki sem képes megváltoztatni, ez kőbe (kódba) van vésve. Minden felhasználónak van egy kulcskészlete, amely hozzáférést biztosít az érméihez. 1 bitcoin 100 millió részegységre osztható, amit szatosinak (illetve szatnak) nevezünk. A hálózat használatának növekedésével minden egyes bitcoin egyre több értéket tud és fog tárolni és közvetíteni, így válva generációk értéktárolójává.	true
7	A hagyományos pénzügyi rendszer központi szervekbe - állami- és magánbankokba, központi bankokba, kormányokba stb. - vetett bizalomra épül, ami korrupciónak van kitéve. A központi intézmények politikai és társadalmi érdekek alapján megváltoztathatják a pénzügyi rendszer szabályait, mint ahogy már meg is változtatták azokat, hogy saját maguknak kedvezzenek. Satoshi egy olyan kóddal állt elő, amelyet több millió/milliárd ember oszthat meg anélkül, hogy valaha is meg kellene bízniuk egymásban. A kód szabályai konszenzuson alapulnak. Nincs olyan központi szereplő, aki képes lenne befolyásolni vagy megváltoztatni a kódot, és egyetlen résztvevő által birtokolt bitcoin mennyisége sincs hatással az ő azon befolyásának mértékére, amit a hálózatra tud gyakorolni. A konszenzust az elosztott (bárki által üzemeltethető) számítógépek hálózata határozza meg, melyek nem bíznak egymásban. Egymás kódjának és főkönyvének minden egyes részét összevetik a sajátjukkal.	true
8	Egy másik dolog, amit a Bitcoin megoldott, az a "dupla költés" problémája. Már korábban is lehetett virtuális valutával tranzakciókat továbbítani az interneten keresztül, de az volt a probléma, hogy egymásnak ellentmondó tranzakciókat lehetett beilleszteni a számítógépek hálózatába. Mivel a kód könnyen másolható, a rekordokat vagy egy digitális érmét több milliószor lehetett másolni, és mindezeket a milliókat el lehetett költeni anélkül, hogy a rendszerben bármiféle ellenőrzés lett volna. Létrehozhatnál két külön tranzakciót, amelyek ugyanazt a digitális érmét költik el, és mindkét tranzakciót egyszerre küldhetnéd be a hálózatba. Tehát amikor egy központi ellenőrzési pont nélküli elektronikus fizetési rendszert hozunk létre, akkor az a probléma, hogy meg kell állapítanunk, melyik tranzakció volt az "első", és ez nehezen megoldható, ha egy egymástól függetlenül működő számítógép-hálózatról van szó. Némely számítógép az egyik tranzakciót kapja meg először, némely pedig egy másikat. A Bitcoin ezt a problémát úgy oldja meg, hogy a csomópontokat arra kényszeríti, hogy az összes beérkezett tranzakciót a "memóriában" (mempool) tartsák, mielőtt egy fájlba írnák őket. Ezután 10 perces időközönként a hálózat egy véletlenszerűen kiválasztott csomópontja a memóriájából a tranzakciókat a fájlba írja.	true
9	Fontos megjegyezni, hogy a pénztárcák valójában sosem tárolnak bitcoint, csak egy aláíró eszközként működnek, amely a hálózattal interakcióba lépve igazolja a tulajdonában lévő “érmék” tulajdonjogát. A bitcoin valójában soha nem hagyja el a blokkláncot, ugyanakkor az általad birtokolt bitcoint kizárólag a te kulcsoddal lehet elkölteni/felhasználni/elküldeni. Ha ez a privát kulcs (jelszó) elveszik, magadat beleértve senki sem tudja visszaszerezni ezeket az “érméket”. A Bitcoin esetében nincs ügyfélszolgálat.	true
10	Donald Trump kijelentette: Nem vagyok rajongója a Bitcoinnak és más kriptodevizáknak, ezek ugyanis nem pénzek, az értékük nagyon volatilis és a fedezetük csupán levegő.	false
11	A QANON szerint Donald Trump az igazság bajnoka a demokrata hatalmi elittel szemben, akik titkos csoportok akarata szerint kormányoznák az Egyesült Államokat.	false
12	A Bitconnect egy kereskedőrobot felhasználásával képes napi 1% feletti kamatot fizetni, nem az új belépők pénzéből fizetik ki a kamatokat.	false
13	A tavaly novemberben indult Hedgeconnect a világ első kriptopénzes hedge fundjaként hirdeti magát, ICO-kba és a BitConnecthez hasonló „hitelezési platformokba” fektet. A befektető úgy is kap hozamot, hogy a „kereskedési robotnak” adja a pénzét (akár a BitConnectnél vagy a Bitpetitenél), de úgy is, ha semmit nem csinál vele, csak a Hedgeconnect tárcájában hagyja, sőt, új tagok toborzása esetén is jár jutalék. Havi 40% körüli hozamot ígérnek ügyfeleiknek, napi 0,1-0,3%-os garantált hozam mellett.	false
14	Új tranzakciók a nyílt főkönyvhöz való hozzáadásához a Bitcoin a munka bizonyíték (proof-of-work) eljárást alkalmazza, amire bányászatként szokás hivatkozni. Hogyan működik a bányászat? Minden egyes csomópont (számítógép) eltárolja a hálózat minden további csomópontjáról (számítógépéről) származó legfrissebb tranzakciókat. Ez lehetővé teszi a megosztott állomány konzisztens, korrumpálhatatlan nyilvántartását. Bármelyik csomópont (számítógép) megpróbálhatja kibányászni a tranzakciók következő csoportját, vagyis hozzáadni a főkönyvhöz a következő tranzakciókat. A  csomópontok összegyűjtik a tranzakciókat a memóriakészletből (mempool) egy blokknak nevezett egységbe, majd számítási kapacitás felhasználásával megpróbálja ezt a tranzakció blokkot hozzáadni a blokklánchoz. A tranzakciók láncába pontosan illeszkedő blokk létrehozása érdekében a hálózatban résztvevő minden egyes csomópont matematikai műveletek trillióit végzi el, hogy megtalálja a pontosan illeszkedő véletlen számot. Ez egy olyan folyamat, mely során meg kell tippeli a helyes véletlenszámot (matematikai megoldást), és az a számítógép, amelyik ezt először végzi el, az megkapja a blokk jutalmat (azaz a folyamat során keletkező új bitcoinokat), valamint a blokkban szereplő összes tranzakció díját. Ezek a csomópontok (számítógépek) dönthetnek úgy is, hogy nem vesznek részt a jutalomért folyó versenyben - ami maga a bányászat -, és inkább csak egy hitelesítő csomópontot működtetnek, amely hálózati részvétele során a tranzakciók hitelesítését végzi, továbbá ellenőrzi a kódot és nem utolsó sorban biztosítja a hálózat decentralizáltságát.	true
15	A bányászat során a számítógépeknek fáradhatatlanul kell dolgozniuk és egymással versenyezniük, ami fokozza a helyes blokk megtalálásának nehézségét, ezt nevezik nehézség-igazításnak. Ahogy egyre több és több számítógép csatlakozik, a kód automatikusan fokozza a blokk megtalálásának nehézségét a hálózat teljes számítási kapacitása függvényében.	true
16	A Bitcoin hálózat illetve szoftver kódját több mint 600 aktívan dolgozó személy munkája révén időről időre frissítik, a kódváltozásokat pedig a felhasználók és a csomópontok üzemeltetői hagyják jóvá és fogadják el azáltal, hogy a frissített kód használata mellett döntenek. A bitcoin "nyílt forráskódú" kód, ami azt jelenti, hogy bárki megtekintheti és hozzájárulhat. Nem áll mögötte semmilyen központi szervezet.	true
17	A Bitcoin blokklánca alkalmas nagymennyiségű adat biztonságos tárolására.	mixture
18	Satoshi alkotta meg az első kriptopénzt, mely mind a mai napig az egyetlen olyan kriptopénz, amely teljes mértékben decentralizált, bizalom nélküli modellen alapul. A Bitcoin használatához technikailag nem kell tudni, hogy pontosan mi történik a rendszer egyes pontjain, hasonlóan ahhoz, mint amikor a bankrendszerben a bankkártyás fizetést használjuk. Digitális fizetési hálózat lévén a felhasználóbarátság főként a felhasználói alkalmazásoktól és szolgáltatásoktól függ (mint például a mobiltelefonos vagy számítógépes tárca alkalmazások).	mixture
19	Azért használsz Bitcoint, mert bűnöző vagy, és egy piramisjátékban kicsalod mások pénzét.	insult
20	Az Amerikai Egyesült Államok pénzneme, az US Dollár a legbiztonságosabb pénznem, mert a világ legerősebb állama adja a fedezetét.	mixture
21	A dollár használatát az Egyesült Államok Konföderációjának Kongresszusa fogadta el 1785. július 6-án, és mára már ez a legelterjedtebb pénznem a világon. Egyes országok az amerikai dollárt használják saját hivatalos fizetőeszközük gyanánt, és sok országban használják nem hivatalos másodlagos fizetőeszközként.	true
22	A bankok képesek létrehozni tetszőleges számú Bitcoint, mert a Bitcoin mögött nem áll semmilyen szervezet, ami megvédje.	false
23	Csak a retardáltak hiszik azt, hogy az US Dollár nem veszít folyamatosan az értékéből, mivel látható, hogy hogyan drágult meg minden árucikk az elmúlt időszakban. Hülye vagy, ha dollárban tartod a pénzed!    insult
24	Az arany megbízható értékőrző, mert véges mennyiség van belőle, nagyon nagy a piaci kapitalizációja, és nem hatnak rá a tőzsdei manipulációk.	mixture
25	A bitcoin egy nyílt forráskódú digitális fizetőeszköz, kriptovaluta, amelyet 2009. január 3-án egy ismeretlen (fórumos nevén Satoshi Nakamoto) bocsátott ki, közvetlenül a 2008-ban kirobbant gazdasági világválság kirobbanása után. Az elnevezés vonatkozik továbbá a fizetőeszközt kezelő nyílt forráskódú szoftverre, és az azzal létrehozott elosztott hálózatra is.	true
26	A bitcoin nem függ központi kibocsátóktól és hatóságoktól (mint jegybankok és állami szervek), sem egyéb megbízható harmadik féltől, mivel a peer-to-peer hálózat csomópontjai által tárolt elosztott adatbázisra támaszkodik. Az adatbázis tartalmazza a fizetések adatait, garantálva az elektronikus fizetőeszközökkel szembeni alapvető követelményeket. A biztonságot digitális aláírások és proof-of-work rendszer adja.	true
27	A bitcoin biztonságos tárolása szintén számos aggályt vet fel, mivel az átlag felhasználó nem rendelkezik megfelelő IT biztonsági ismeretekkel ahhoz, hogy megvédje a kriptovalutáját annak elvesztésétől vagy ellopásától. Bűnözők évente többmilliárd dollár értékben lopnak el bitcoint, emellett a Cane Island befektetőcég 6 millió BTC-re becsli a rossz tárolásból véglegesen elveszített érmék számát.	true
28	A bitcoin hálózat működtetéséhez szükséges éves energiaigény 2020 körül már meghaladta Ausztria, Belgium vagy épp a több mint 200 milliós Pakisztán teljes éves energiafogyasztását, és óriási számítógépes kapacitást köt le. A bitcoin (és társai) egyesek szerint energiapazarlásuk miatt totálisan szembemennek a mai környezetvédelmi, klímapolitikai törekvésekkel. Hívei szerint viszont épp a kriptovaluta-bányászat hozhatja el azt a zöldenergia forradalmat, ami belátható időn belül leváltja a fosszilis energiát	mixture
29	A bitcoin fő fejlesztője Satoshi Nakamoto álnéven publikálta a szoftvert és azt megelőzően 2008. október 31-én a Bitcoin fehér könyvét. A 9 oldalas mű címe, Satoshi Nakamoto: Egy peer-to-peer elektronikus készpénzrendszer.	true
30	A bitcoin hívei szerint, akik természetesen anyagilag messzemenően érdekeltek a termék reklámozásában, a bitcoin energiafogyasztását a bankrendszer, vagy éppen az aranybányászat éves energiafogyasztásához kellen mérni, ez kedvezőbb képet mutatna. Ennek azonban csak akkor lenne értelme, ha reális esélye lenne annak, hogy a kriptovaluták belátható távon belül kiválthatják a hagyományos pénzrendszert vagy az arany felhasználását, addig ez többlet energiafogyasztás.	mixture
